applicant_id,CPA,weight
STR-03074A,"MISSION BEACH",7
STR-02865A,"MISSION BEACH",6
STR-03208A,"MISSION BEACH",10
STR-03007A,"MISSION BEACH",3
STR-03236A,"MISSION BEACH",7
STR-02771A,"MISSION BEACH",10
STR-03087A,"MISSION BEACH",10
STR-03269A,"MISSION BEACH",6
STR-03129A,"MISSION BEACH",8
STR-02778A,"MISSION BEACH",8
STR-03209A,"MISSION BEACH",6
STR-02867A,"MISSION BEACH",6
STR-03240A,"MISSION BEACH",10
STR-02741A,"MISSION BEACH",9
STR-03012A,"MISSION BEACH",7
STR-03271A,"MISSION BEACH",6
STR-03049A,"MISSION BEACH",10
STR-02786A,"MISSION BEACH",10
STR-03212A,"MISSION BEACH",10
STR-02875A,"MISSION BEACH",8
STR-03198A,"MISSION BEACH",10
STR-02695A,"MISSION BEACH",10
STR-02918A,"MISSION BEACH",8
STR-03276A,"MISSION BEACH",10
STR-03058A,"MISSION BEACH",10
STR-02796A,"MISSION BEACH",8
STR-03224A,"MISSION BEACH",7
STR-02880A,"MISSION BEACH",8
STR-03199A,"MISSION BEACH",9
STR-02707A,"MISSION BEACH",10
STR-02864A,"MISSION BEACH",6
STR-03290A,"MISSION BEACH",10
STR-02985A,"MISSION BEACH",8
STR-02799A,"MISSION BEACH",8
STR-03238A,"MISSION BEACH",6
STR-02890A,"MISSION BEACH",8
STR-03099A,"MISSION BEACH",10
STR-02676A,"MISSION BEACH",5
STR-02866A,"MISSION BEACH",6
STR-03226A,"MISSION BEACH",10
STR-02988A,"MISSION BEACH",8
STR-02810A,"MISSION BEACH",8
STR-03243A,"MISSION BEACH",8
STR-02894A,"MISSION BEACH",8
STR-03054A,"MISSION BEACH",7
STR-02620A,"MISSION BEACH",8
STR-02785A,"MISSION BEACH",10
STR-03231A,"MISSION BEACH",10
STR-02998A,"MISSION BEACH",10
STR-02813A,"MISSION BEACH",10
STR-03250A,"MISSION BEACH",10
STR-02744A,"MISSION BEACH",6
STR-03021A,"MISSION BEACH",10
STR-02501A,"MISSION BEACH",10
STR-02801A,"MISSION BEACH",7
STR-03187A,"MISSION BEACH",8
STR-03003A,"MISSION BEACH",10
STR-02820A,"MISSION BEACH",10
STR-03093A,"MISSION BEACH",7
STR-02750A,"MISSION BEACH",10
STR-03042A,"MISSION BEACH",4
STR-02530A,"MISSION BEACH",9
STR-02811A,"MISSION BEACH",10
STR-03083A,"MISSION BEACH",6
STR-02857A,"MISSION BEACH",10
STR-02821A,"MISSION BEACH",10
STR-03061A,"MISSION BEACH",8
STR-02439A,"MISSION BEACH",8
STR-02990A,"MISSION BEACH",10
STR-02458A,"MISSION BEACH",10
STR-02816A,"MISSION BEACH",10
STR-03182A,"MISSION BEACH",10
STR-02789A,"MISSION BEACH",10
STR-02752A,"MISSION BEACH",10
STR-03043A,"MISSION BEACH",10
STR-02426A,"MISSION BEACH",8
STR-02945A,"MISSION BEACH",10
STR-02274A,"MISSION BEACH",10
STR-02818A,"MISSION BEACH",7
STR-03151A,"MISSION BEACH",6
STR-02819A,"MISSION BEACH",8
STR-02755A,"MISSION BEACH",10
STR-03051A,"MISSION BEACH",6
STR-02406A,"MISSION BEACH",7
STR-02906A,"MISSION BEACH",6
STR-02397A,"MISSION BEACH",8
STR-02834A,"MISSION BEACH",4
STR-03073A,"MISSION BEACH",8
STR-02776A,"MISSION BEACH",8
STR-02658A,"MISSION BEACH",10
STR-03020A,"MISSION BEACH",8
STR-02407A,"MISSION BEACH",5
STR-02926A,"MISSION BEACH",10
STR-02400A,"MISSION BEACH",10
STR-02777A,"MISSION BEACH",5
STR-03017A,"MISSION BEACH",7
STR-02779A,"MISSION BEACH",6
STR-02589A,"MISSION BEACH",10
STR-02987A,"MISSION BEACH",8
STR-02377A,"MISSION BEACH",4
STR-02902A,"MISSION BEACH",10
STR-02404A,"MISSION BEACH",7
STR-02669A,"MISSION BEACH",9
STR-03019A,"MISSION BEACH",10
STR-02710A,"MISSION BEACH",4
STR-02571A,"MISSION BEACH",5
STR-02991A,"MISSION BEACH",10
STR-02299A,"MISSION BEACH",7
STR-02868A,"MISSION BEACH",6
STR-02348A,"MISSION BEACH",10
STR-02672A,"MISSION BEACH",9
STR-02927A,"MISSION BEACH",10
STR-02726A,"MISSION BEACH",10
STR-02514A,"MISSION BEACH",8
STR-02963A,"MISSION BEACH",6
STR-02704A,"MISSION BEACH",6
STR-02829A,"MISSION BEACH",8
STR-02357A,"MISSION BEACH",4
STR-02652A,"MISSION BEACH",9
STR-03001A,"MISSION BEACH",8
STR-02698A,"MISSION BEACH",5
STR-02539A,"MISSION BEACH",10
STR-02913A,"MISSION BEACH",10
STR-02367A,"MISSION BEACH",10
STR-02831A,"MISSION BEACH",10
STR-02331A,"MISSION BEACH",4
STR-02360A,"MISSION BEACH",4
STR-03005A,"MISSION BEACH",10
STR-02684A,"MISSION BEACH",1
STR-02510A,"MISSION BEACH",10
STR-02914A,"MISSION BEACH",10
STR-02281A,"MISSION BEACH",10
STR-02770A,"MISSION BEACH",10
STR-02307A,"MISSION BEACH",7
STR-02743A,"MISSION BEACH",7
STR-02966A,"MISSION BEACH",4
STR-02678A,"MISSION BEACH",3
STR-02496A,"MISSION BEACH",1
STR-02837A,"MISSION BEACH",8
STR-02149A,"MISSION BEACH",10
STR-02702A,"MISSION BEACH",10
STR-02270A,"MISSION BEACH",10
STR-02754A,"MISSION BEACH",8
STR-02912A,"MISSION BEACH",3
STR-02653A,"MISSION BEACH",8
STR-02499A,"MISSION BEACH",8
STR-02847A,"MISSION BEACH",8
STR-02217A,"MISSION BEACH",3
STR-02705A,"MISSION BEACH",6
STR-01870A,"MISSION BEACH",9
STR-02603A,"MISSION BEACH",8
STR-02920A,"MISSION BEACH",6
STR-02622A,"MISSION BEACH",6
STR-02481A,"MISSION BEACH",10
STR-02862A,"MISSION BEACH",8
STR-02218A,"MISSION BEACH",10
STR-02666A,"MISSION BEACH",8
STR-02188A,"MISSION BEACH",10
STR-02553A,"MISSION BEACH",8
STR-02882A,"MISSION BEACH",6
STR-02610A,"MISSION BEACH",8
STR-02430A,"MISSION BEACH",10
STR-02879A,"MISSION BEACH",8
STR-02220A,"MISSION BEACH",10
STR-02625A,"MISSION BEACH",7
STR-02047A,"MISSION BEACH",8
STR-02557A,"MISSION BEACH",6
STR-02848A,"MISSION BEACH",6
STR-02574A,"MISSION BEACH",6
STR-02230A,"MISSION BEACH",5
STR-02884A,"MISSION BEACH",10
STR-02243A,"MISSION BEACH",6
STR-02577A,"MISSION BEACH",8
STR-02057A,"MISSION BEACH",10
STR-02494A,"MISSION BEACH",5
STR-02797A,"MISSION BEACH",10
STR-02529A,"MISSION BEACH",10
STR-02231A,"MISSION BEACH",10
STR-02792A,"MISSION BEACH",10
STR-02081A,"MISSION BEACH",10
STR-02511A,"MISSION BEACH",10
STR-02074A,"MISSION BEACH",6
STR-02497A,"MISSION BEACH",10
STR-02825A,"MISSION BEACH",10
STR-02555A,"MISSION BEACH",8
STR-02241A,"MISSION BEACH",6
STR-02802A,"MISSION BEACH",8
STR-01954A,"MISSION BEACH",10
STR-02354A,"MISSION BEACH",10
STR-02076A,"MISSION BEACH",10
STR-02380A,"MISSION BEACH",10
STR-02826A,"MISSION BEACH",10
STR-02516A,"MISSION BEACH",8
STR-02361A,"MISSION BEACH",3
STR-02804A,"MISSION BEACH",10
STR-02031A,"MISSION BEACH",4
STR-02420A,"MISSION BEACH",6
STR-01805A,"MISSION BEACH",3
STR-02316A,"MISSION BEACH",10
